sample	hom_min	hom_max	hom_mid	het_min	het_max	het_mid	haploid_len_min_mb	haploid_len_max_mb	haploid_len_mid_mb	model_fit_min	model_fit_max	error_rate	inferred_ploidy
AHL1	93.8051	95.1717	94.49	4.82827	6.19492	5.51	520.4	539.5	530.0	24.8686	81.3281	1.58725	diploid
ALL1	93.144	94.8775	94.01	5.12248	6.85601	5.99	643.8	666.2	655.0	25.817	77.4511	1.1923	diploid
ALP1	93.4026	94.9898	94.20	5.01022	6.5974	5.80	635.1	657.0	646.0	24.4647	79.3162	1.3437	diploid
APO1	92.8115	94.8184	93.81	5.18163	7.18852	6.19	666.3	688.1	677.2	25.667	80.7411	1.32059	diploid
AQU1	94.0626	95.3145	94.69	4.68551	5.93736	5.31	569.6	591.3	580.5	23.2933	81.6221	1.6233	diploid
ARM1	93.7723	95.1843	94.48	4.81573	6.22773	5.52	662.2	686.5	674.3	23.5483	81.5935	1.5079	diploid
ARO1	90.5126	94.6033	92.56	5.39674	9.48743	7.44	833.2	856.1	844.6	30.0244	80.1261	0.825912	diploid
ARO2	91.0847	94.5743	92.83	5.42565	8.91533	7.17	784.6	807.1	795.9	29.6297	80.0723	0.919422	diploid
ATL1	92.141	94.6509	93.40	5.34909	7.85895	6.60	688.5	709.6	699.1	27.7242	79.3621	1.15038	diploid
AUR1	93.245	94.9195	94.08	5.08049	6.75495	5.92	619.2	640.5	629.9	25.9426	77.9516	1.26073	diploid
BAC1	90.6958	94.5964	92.65	5.40363	9.30424	7.35	817.6	840.4	829.0	30.2801	80.4588	0.836704	diploid
BAK1	91.1437	94.5249	92.83	5.47509	8.85631	7.17	769.8	789.2	779.5	28.6599	79.1314	0.798677	diploid
BAN1	93.9997	95.2848	94.64	4.71519	6.00033	5.36	584.5	606.6	595.6	23.2273	81.7767	1.58269	diploid
BG1	94.4218	95.5103	94.97	4.48968	5.57822	5.03	538.8	560.7	549.7	22.7081	82.7044	1.67428	diploid
BG2	93.69	95.1447	94.42	4.85535	6.31003	5.58	693.6	718.7	706.2	23.7173	81.6894	1.47183	diploid
BITTG1	94.4859	95.5456	95.02	4.45436	5.51412	4.98	553.5	576.4	565.0	22.8057	82.458	1.55205	diploid
BLT1	95.396	96.2723	95.83	3.72768	4.60403	4.17	98.8	103.6	101.2	26.0064	83.6897	2.80926	check_p4
BNB1	92.6788	94.7604	93.72	5.2396	7.32121	6.28	626.9	647.1	637.0	26.1491	79.7753	1.28455	diploid
BOB1	94.1379	95.3289	94.73	4.67107	5.86209	5.27	442.6	459.9	451.3	25.0368	81.8095	1.70624	diploid
BRAM1	93.3174	94.9525	94.13	5.04748	6.6826	5.87	561.3	580.8	571.1	25.8173	79.8252	1.45767	diploid
BTG1	95.2588	96.2053	95.73	3.79473	4.74124	4.27	212.6	223.5	218.1	24.4081	86.0189	2.35511	check_p4
BUK1	95.29	96.2541	95.77	3.74589	4.71002	4.23	92.4	97.3	94.8	26.3519	86.2212	2.83043	check_p4
BUL10	95.3789	96.3069	95.84	3.6931	4.62106	4.16	176.6	185.5	181.0	24.5171	84.1877	2.33474	check_p4
BUL1	95.3088	96.2709	95.79	3.72908	4.69119	4.21	168.7	177.4	173.1	24.8328	85.4898	2.51386	check_p4
CALI1	92.9447	94.8823	93.91	5.11769	7.05531	6.09	783.1	809.2	796.1	25.4964	81.8228	1.30009	diploid
CALI2	94.6235	95.6297	95.13	4.3703	5.3765	4.87	547.5	570.7	559.1	22.2667	82.7415	1.5832	diploid
CANG1	92.9004	94.7871	93.84	5.2129	7.09962	6.16	665.9	687.9	676.9	26.2374	77.1697	1.139	diploid
CAS1	94.4069	95.4876	94.95	4.51239	5.5931	5.05	529.2	550.0	539.6	22.7848	82.0373	1.48791	diploid
CEN1	94.2488	95.4056	94.83	4.59445	5.75124	5.17	478.1	497.1	487.6	23.5883	81.9052	1.68887	diploid
CHIN1	93.5714	95.0851	94.33	4.91492	6.42862	5.67	690.8	714.6	702.7	24.0513	81.7255	1.32273	diploid
