sample	hom_min	hom_max	hom_mid	het_min	het_max	het_mid	haploid_len_min_mb	haploid_len_max_mb	haploid_len_mid_mb	model_fit_min	model_fit_max	error_rate	inferred_ploidy
22530Aru_ATL1	92.1411	94.6509	93.40	5.34908	7.8589	6.60	688.5	709.6	699.1	27.7242	79.3623	1.15039	diploid
22530Aru_BAN1	93.9996	95.2848	94.64	4.71517	6.0004	5.36	584.5	606.6	595.6	23.2272	81.7764	1.5827	diploid
22530Aru_BG1	94.4218	95.5103	94.97	4.48973	5.57821	5.03	538.8	560.7	549.7	22.708	82.7044	1.67429	diploid
22530Aru_CALI1	92.9447	94.8823	93.91	5.11768	7.05531	6.09	783.1	809.2	796.1	25.4964	81.823	1.30009	diploid
22530Aru_CEN1	94.2488	95.4056	94.83	4.59443	5.75118	5.17	478.1	497.0	487.6	23.5883	81.9056	1.68888	diploid
22530Aru_COM1	92.7114	94.8554	93.78	5.14458	7.28857	6.22	864.7	894.0	879.4	25.0419	81.7889	1.23565	diploid
22530Aru_GB1	93.1382	94.958	94.05	5.04202	6.86178	5.95	811.4	839.8	825.6	24.4737	81.9498	1.27257	diploid
22530Aru_SPALT1	92.8078	94.7934	93.80	5.20659	7.19218	6.20	594.1	613.5	603.8	26.4137	80.03	1.33861	diploid
22530Aru_STAR1	92.6633	94.7429	93.70	5.25708	7.33668	6.30	697.0	719.2	708.1	26.6998	79.0673	1.23342	diploid
22530Aru_STBRT1	92.9527	94.8622	93.91	5.13781	7.0473	6.09	677.1	699.5	688.3	25.4267	80.7013	1.35286	diploid
22530Aru_TETT1	92.6656	94.7494	93.71	5.25055	7.33442	6.29	690.7	712.5	701.6	26.8517	79.2692	1.23861	diploid
22530Aru_WTB48	93.5967	95.0631	94.33	4.93687	6.40328	5.67	499.5	517.5	508.5	26.0254	80.6024	1.5635	diploid
22530Aru_WYET1	94.0666	95.3138	94.69	4.68617	5.93337	5.31	458.3	476.1	467.2	24.3598	82.0598	1.65637	diploid
25091Aru_BAK1	91.1432	94.5249	92.83	5.47507	8.85681	7.17	769.8	789.3	779.6	28.6606	79.1324	0.798618	diploid
25091Aru_SHN1	94.5954	95.6134	95.10	4.38664	5.40465	4.90	538.1	560.4	549.3	22.7101	82.9262	1.58798	diploid
25091Aru_SOA1	93.2307	94.9141	94.07	5.08591	6.76933	5.93	598.5	617.6	608.1	25.1598	80.3612	1.20374	diploid
25091Aru_SSH1	94.4775	95.5264	95.00	4.47357	5.52246	5.00	484.9	505.1	495.0	23.133	81.9707	1.65339	diploid
25091Aru_TAL1	94.261	95.4113	94.84	4.58871	5.73902	5.16	586.6	609.5	598.0	22.1889	81.088	1.52138	diploid
25091Aru_TDB1	92.3044	94.6497	93.48	5.35026	7.69562	6.52	699.7	720.6	710.1	26.6039	77.6427	1.02044	diploid
25091Aru_TEA1	95.3977	96.3191	95.86	3.68093	4.60226	4.14	147.3	154.7	151.0	25.2625	83.8603	2.52873	check_p4
25091Aru_TOYO1	94.4676	95.5345	95.00	4.46546	5.53239	5.00	513.4	534.8	524.1	22.7538	81.736	1.62334	diploid
25091Aru_YUGOG1	93.0923	94.8601	93.98	5.13986	6.9077	6.02	647.5	669.8	658.6	25.5963	77.3535	1.17967	diploid
